wkt,id
"MULTIPOLYGON (((-9.16483710740839 38.7460610702872, -9.16663373797663 38.7460610702872, -9.16663373797663 38.7474622981459, -9.16483710740839 38.7474622981459, -9.16483710740839 38.7460610702872)))",2030
"MULTIPOLYGON (((-9.16483710740839 38.7446598149285, -9.16663373797663 38.7446598149285, -9.16663373797663 38.7460610702872, -9.16483710740839 38.7460610702872, -9.16483710740839 38.7446598149285)))",1966
"MULTIPOLYGON (((-9.16843036854486 38.7516658167186, -9.1702269991131 38.7516658167186, -9.1702269991131 38.7530669345741, -9.16843036854486 38.7530669345741, -9.16843036854486 38.7516658167186)))",2289
"MULTIPOLYGON (((-9.1378876488848 38.7628739895034, -9.13968427945304 38.7628739895034, -9.13968427945304 38.7642748873384, -9.1378876488848 38.7642748873384, -9.1378876488848 38.7628739895034)))",2811
"MULTIPOLYGON (((-9.13609101831656 38.7628739895034, -9.1378876488848 38.7628739895034, -9.1378876488848 38.7642748873384, -9.13609101831656 38.7642748873384, -9.13609101831656 38.7628739895034)))",2812
"MULTIPOLYGON (((-9.13429438774832 38.7628739895034, -9.13609101831656 38.7628739895034, -9.13609101831656 38.7642748873384, -9.13429438774832 38.7642748873384, -9.13429438774832 38.7628739895034)))",2813
"MULTIPOLYGON (((-9.13070112661184 38.7628739895034, -9.13249775718008 38.7628739895034, -9.13249775718008 38.7642748873384, -9.13070112661184 38.7642748873384, -9.13070112661184 38.7628739895034)))",2815
"MULTIPOLYGON (((-9.12890449604361 38.7628739895034, -9.13070112661184 38.7628739895034, -9.13070112661184 38.7642748873384, -9.12890449604361 38.7642748873384, -9.12890449604361 38.7628739895034)))",2816
"MULTIPOLYGON (((-9.12710786547537 38.7642748873384, -9.12890449604361 38.7642748873384, -9.12890449604361 38.7656757576694, -9.12710786547537 38.7656757576694, -9.12710786547537 38.7642748873384)))",2877
"MULTIPOLYGON (((-9.12531123490713 38.7656757576694, -9.12710786547537 38.7656757576694, -9.12710786547537 38.7670766004963, -9.12531123490713 38.7670766004963, -9.12531123490713 38.7656757576694)))",2937
"MULTIPOLYGON (((-9.12351460433889 38.7670766004963, -9.12531123490713 38.7670766004963, -9.12531123490713 38.7684774158187, -9.12351460433889 38.7684774158187, -9.12351460433889 38.7670766004963)))",2998
"MULTIPOLYGON (((-9.12351460433889 38.7684774158187, -9.12531123490713 38.7684774158187, -9.12531123490713 38.7698782036363, -9.12351460433889 38.7698782036363, -9.12351460433889 38.7684774158187)))",3057
"MULTIPOLYGON (((-9.12351460433889 38.7698782036363, -9.12531123490713 38.7698782036363, -9.12531123490713 38.7712789639488, -9.12351460433889 38.7712789639488, -9.12351460433889 38.7698782036363)))",3115
"MULTIPOLYGON (((-9.15405732399895 38.758671130978, -9.15585395456719 38.758671130978, -9.15585395456719 38.7600721113229, -9.15405732399895 38.7600721113229, -9.15405732399895 38.758671130978)))",2618
"MULTIPOLYGON (((-9.16304047684015 38.7614730641648, -9.16483710740839 38.7614730641648, -9.16483710740839 38.7628739895034, -9.16304047684015 38.7628739895034, -9.16304047684015 38.7614730641648)))",2736
"MULTIPOLYGON (((-9.16124384627191 38.7600721113229, -9.16304047684015 38.7600721113229, -9.16304047684015 38.7614730641648, -9.16124384627191 38.7614730641648, -9.16124384627191 38.7600721113229)))",2676
"MULTIPOLYGON (((-9.16483710740839 38.7656757576694, -9.16663373797663 38.7656757576694, -9.16663373797663 38.7670766004963, -9.16483710740839 38.7670766004963, -9.16483710740839 38.7656757576694)))",2915
"MULTIPOLYGON (((-9.16483710740839 38.7642748873384, -9.16663373797663 38.7642748873384, -9.16663373797663 38.7656757576694, -9.16483710740839 38.7656757576694, -9.16483710740839 38.7642748873384)))",2856
"MULTIPOLYGON (((-9.16483710740839 38.7474622981459, -9.16663373797663 38.7474622981459, -9.16663373797663 38.7488634985042, -9.16483710740839 38.7488634985042, -9.16483710740839 38.7474622981459)))",2095
"MULTIPOLYGON (((-9.16663373797663 38.7488634985042, -9.16843036854486 38.7488634985042, -9.16843036854486 38.7502646713618, -9.16663373797663 38.7502646713618, -9.16663373797663 38.7488634985042)))",2159
"MULTIPOLYGON (((-9.16483710740839 38.7432585320702, -9.16663373797663 38.7432585320702, -9.16663373797663 38.7446598149285, -9.16483710740839 38.7446598149285, -9.16483710740839 38.7432585320702)))",1903
"MULTIPOLYGON (((-9.16304047684015 38.7432585320702, -9.16483710740839 38.7432585320702, -9.16483710740839 38.7446598149285, -9.16304047684015 38.7446598149285, -9.16304047684015 38.7432585320702)))",1904
"MULTIPOLYGON (((-9.16663373797663 38.7418572217123, -9.16843036854486 38.7418572217123, -9.16843036854486 38.7432585320702, -9.16663373797663 38.7432585320702, -9.16663373797663 38.7418572217123)))",1840
"MULTIPOLYGON (((-9.16843036854486 38.7404558838553, -9.1702269991131 38.7404558838553, -9.1702269991131 38.7418572217123, -9.16843036854486 38.7418572217123, -9.16843036854486 38.7404558838553)))",1778
"MULTIPOLYGON (((-9.1792101519543 38.7558690877803, -9.18100678252254 38.7558690877803, -9.18100678252254 38.7572701231303, -9.1792101519543 38.7572701231303, -9.1792101519543 38.7558690877803)))",2478
"MULTIPOLYGON (((-9.18100678252254 38.7558690877803, -9.18280341309078 38.7558690877803, -9.18280341309078 38.7572701231303, -9.18100678252254 38.7572701231303, -9.18100678252254 38.7558690877803)))",2477
